record_type,transaction_id,transaction_at,business_date,processor,source_system,venue_area,terminal_id,reference_id,transaction_type,amount,settlement_status,auth_code,expected_amount,settled_amount,variance_amount,expected_transaction_count,settled_transaction_count,discrepancy_type,diagnosis,recommended_action
transaction,txn-00099,2026-04-03 17:33:57,2026-04-03,FreedomPay,,VIP-SUITE-B,FP-TERM-19,REQ-FP-200013,SALE,302.01,SETTLED,,,,,,,Missing auth code,"FreedomPay authorization was declined or never received — the auth code field is blank, indicating the card was presented but not approved.",Review the FreedomPay transaction journal for this reference ID and flag for potential cardholder dispute.
transaction,txn-00359,2026-04-03 18:00:23,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-6,SG-ORD-401279,REFUND,106.52,SETTLED,SG65868,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-00444,2026-04-03 18:04:21,2026-04-03,SeatGeek,,PREMIUM-SUITE-ENTRY,SG-BOX-2,SG-ORD-401155,REFUND,205.71,SETTLED,SG82882,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-00535,2026-04-03 18:09:31,2026-04-03,SeatGeek,,PREMIUM-SUITE-ENTRY,SG-BOX-4,SG-ORD-400208,REFUND,262.21,SETTLED,SG15974,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-00627,2026-04-03 18:12:41,2026-04-03,Shift4,,SEC-114-CONCESSIONS,TERM-114,INV-S4-100004,SALE,42.98,OFFLINE_UNSYNCED,AUTH1302,,,,,,Unsettled status,Shift4 terminal failed to sync its offline batch before end-of-day settlement cutoff — most likely caused by intermittent Wi-Fi in the stadium concourse during peak halftime load.,Ping the Shift Manager to force a manual terminal sync and re-run the Shift4 batch before final close.
transaction,txn-00834,2026-04-03 18:19:22,2026-04-03,SeatGeek,,GATE-B-TICKET,SG-BOX-3,SG-ORD-401326,REFUND,171.54,SETTLED,SG77877,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-00907,2026-04-03 18:21:34,2026-04-03,FreedomPay,,TKT-GATE-4,FP-TERM-16,REQ-FP-200017,SALE,263.23,SETTLED,,,,,,,Missing auth code,"FreedomPay authorization was declined or never received — the auth code field is blank, indicating the card was presented but not approved.",Review the FreedomPay transaction journal for this reference ID and flag for potential cardholder dispute.
transaction,txn-01019,2026-04-03 18:24:23,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-2,SG-ORD-400922,REFUND,126.67,SETTLED,SG96025,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-01038,2026-04-03 18:24:49,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-5,SG-ORD-401728,REFUND,134.69,SETTLED,SG84634,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-01039,2026-04-03 18:24:49,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-2,SG-ORD-402103,REFUND,129.86,SETTLED,SG15221,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-01082,2026-04-03 18:25:49,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-1,SG-ORD-401207,REFUND,80.47,SETTLED,SG91543,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-01208,2026-04-03 18:28:47,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-1,SG-ORD-400000,SALE,1596.19,SETTLED,SG13392,,,,,,Duplicate reference,"Two or more ledger rows share the same processor reference ID, suggesting either a double export by the processor or a duplicate settlement batch upload.",Cross-check the raw export file for duplicate rows and void the secondary entry if the charge amount matches.
transaction,txn-01208,2026-04-03 18:28:47,2026-04-03,SeatGeek,,GATE-A-TICKET,SG-BOX-1,SG-ORD-400000,SALE,1596.19,SETTLED,SG13392,,,,,,High-value review,Large SeatGeek box-office transaction — likely a premium suite or VIP package sale that exceeds standard transaction thresholds.,Validate against the box-office manifest and confirm suite invoice number before finalising the ledger.
transaction,txn-01380,2026-04-03 18:32:03,2026-04-03,SeatGeek,,BOX-OFFICE,SG-BOX-2,SG-ORD-402339,REFUND,332.07,SETTLED,SG81365,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-01554,2026-04-03 18:35:17,2026-04-03,SeatGeek,,GATE-B-TICKET,SG-BOX-5,SG-ORD-402829,REFUND,257.54,SETTLED,SG45756,,,,,,Refund requires offset review,A refund transaction is present in the ledger and requires matching against the original sale.,Locate the originating sale row by reference ID and confirm the net is zero before closing.
transaction,txn-01832,2026-04-03 18:40:06,2026-04-03,FreedomPay,,TKT-GATE-4,FP-TERM-16,REQ-FP-200006,SALE,222.46,SETTLED,,,,,,,Missing auth code,"FreedomPay authorization was declined or never received — the auth code field is blank, indicating the card was presented but not approved.",Review the FreedomPay transaction journal for this reference ID and flag for potential cardholder dispute.
transaction,txn-02069,2026-04-03 18:43:40,2026-04-03,FreedomPay,,TKT-GATE-4,FP-TERM-18,REQ-FP-200003,SALE,75.35,SETTLED,,,,,,,Missing auth code,"FreedomPay authorization was declined or never received — the auth code field is blank, indicating the card was presented but not approved.",Review the FreedomPay transaction journal for this reference ID and flag for potential cardholder dispute.
